college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
nepal mountain academy,thapagaun bijulibazar kathmandu,tribhuvan university,bachelor of mountaineering studies bms master of adventure tourism studies mats trekking guide training ski training master of science in mountain and mountaineering science msc mms,public institution,015244312 015244888,parbatiyagmailcom,34,4,930
school of medicine  karnali academy of health sciences,chandannath jumla,karnali academy of health sciences,bachelor in pharmacy bpharm mbbs mdms clinical science,public institution,087520115 087 520355,infokahsedunp,16,4,217
thakur ram multiple campus,birgunj parsa,tribhuvan university,bachelor of business studies bbs bachelor of science general bsc bachelor of education bed ma in political science ma political science ma in population studies master of business studies mbs bachelor of business administration bba bachelors in information technology bit,constituent institution,051522187 051522140,,34,2,178
dhawalagiri multiple campus,baglung,tribhuvan university,bachelor of education bed bachelor of arts ba bachelor of business studies bbs bachelor of science general bsc master of business studies mbs master of education general med bachelor of business administration bba,constituent institution,068520113 068521384,dmcbaglunggmailcom,34,2,41
saraswati multiple campus,lekhnath marg thamel kathmandu,tribhuvan university,bachelor of computer application bca bachelor of business administration bba bachelor of business management bbm bachelor of arts ba bachelor of hotel management bhm bachelor of arts in social work basw bachelor of business studies bbs ma in english ma english ma in sociology master of business studies mbs ma in nepali ma nepali master of business management mbm ma in economics ma economics bachelor degree in social work bsw,constituent institution,014412272  014411971,campussaraswatigmailcom,34,2,567
prithvi narayan campus,bagar pokhara pokhara lekhnath kaski,tribhuvan university,bachelor of business administration bba msc physics ma in political science ma political science bachelor of laws llb ma in nepali ma nepali ma in sociology ma in population studies bachelor of education bed ma in english ma english ma in economics ma economics bachelor of arts bachelor of laws ballb bachelor of arts ba bachelor of business studies bbs master of business studies mbs ma in history ma history bsc microbiology ma in geography ma geography msc in mathematics med in english language education med nepali language education med education planning and management med curriculum and evaluation master of education in economics education master of education in health education med masters of education in mathematics education master of public administration mpa bsc computer science and information technology bsc csit bachelor of public administration bpa msc chemistry bachelor of science general bsc ma in anthropology ma anthropology bachelor of computer application bca bachelor degree in social work bsw,constituent institution,061526837,infopncampusedunp,34,2,38
mahendra multiple campus dang,ghorahi dang,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed bachelor of science general bsc ma in nepali ma nepali ma in english ma english ma in political science ma political science bachelor of business administration bba master of business studies mbs bsc computer science and information technology bsc csit,constituent institution,082560035,,34,2,366
ramsworup ramsagar multiple campus,janakpur dhanusha,tribhuvan university,master of business studies mbs ma in economics ma economics bachelor of arts ba bachelor of education bed bachelor of business studies bbs ma in nepali ma nepali ma in political science ma political science bsc computer science and information technology bsc csit ma in population studies bachelor of business administration bba msc in mathematics bachelors in information technology bit,constituent institution,041520174,,34,2,429
birgunj commerce campus,birgunj parsa,national examinations board,ten plus two 2 management 2 mangement bachelor of business studies bbs,constituent institution,,,24,2,178
bhairahawa multiple campus,bhairahawa siddharthanagar rupandehi,tribhuvan university,bachelor of business management bbm bachelor of arts ba bachelor of business studies bbs bachelor of education bed ma in nepali ma nepali ma in sociology master of business studies mbs master of education in health education med med curriculum and evaluation bachelor of science general bsc bachelor of computer application bca bachelors in information technology bit master of business management mbm bachelor of business administration bba bachelor of information management bim bsc computer science and information technology bsc csit,constituent institution,071520205,bhairahawamultiplecampusgmailcom,34,2,120
bhaktapur multiple campus,doodhpati17 doodhpati bhaktapur,tribhuvan university,bachelor of business administration bba bachelor of arts ba bachelor of business studies bbs bachelor of science general bsc master of business studies mbs ma in nepali ma nepali ma in rural development mrd bsc computer science and information technology bsc csit bachelor of computer application bca bachelors in information technology bit master of information technology mit,constituent institution,016610200 016613199,infobmcbktedunp,34,2,316
doti multiple campus,silgadhi dipayal silgadi doti,tribhuvan university,bachelor of arts ba bachelor of education bed ma in nepali ma nepali bachelor of computer application bca,constituent institution,094411159,,34,2,858
mahendra multiple campus nepalgunj,bhansar road nepalgunj banke,tribhuvan university,bachelor of business administration bba bachelor of education bed bachelor of arts ba bachelor of science general bsc bachelor of laws llb master of business studies mbs ma in nepali ma nepali ma in english ma english ma in political science ma political science ma in rural development mrd bachelor of computer application bca bachelor of public administration bpa bsc computer science and information technology bsc csit bachelors in information technology bit bachelor of business studies bbs,constituent institution,081520278 081525578 081520278,infommcampusedunp,34,2,127
